,years_of_exp,degree,fields,skills,languages
10,9,None,"hr, administration, accounting, customer service
* skills: accounting, adp, analytical skills, ap, ar, benefits, billing, call center, customer service, database, detail-oriented, employee relations, expense reports, filing, hiring, human resource management, human resources, leadership, ledger, logistics, ms office suite, office management, oracle, organizational development, payroll processing, peachtree, personnel, promotion, quickbooks, recruitment, scheduling, spreadsheets","accounting, adp, analytical skills, ap, ar, benefits, billing, call center, customer service, database, detail-oriented, employee relations, expense reports, filing, hiring, human resource management, human resources, leadership, ledger, logistics, ms office suite, office management, oracle, organizational development, payroll processing, peachtree, personnel, promotion, quickbooks, recruitment, scheduling, spreadsheets",not mentioned
11,18,Masters,"human resources, general administration, purchasing, training and development
* skills: administrative, advertising, benefits, business plan, communication, continuous improvement, decision making, english, hiring, human resource, law, legal compliance, managerial, organizational, payroll, performance appraisal, performance management, personnel, policies, processes, procurement, progress, promotion, purchasing, recruitment, reporting, scheduling, strategic","administrative, advertising, benefits, business plan, communication, continuous improvement, decision making, english, hiring, human resource, law, legal compliance, managerial, organizational, payroll, performance appraisal, performance management, personnel, policies, processes, procurement, progress, promotion, purchasing, recruitment, reporting, scheduling, strategic",english
12,23,Masters,"hr management, office operations, customer support, teller, retail support, administration, flight attendant/purser
* skills: management, administrative support, coaching, communication, customer service, french, human resources, leadership, team lead, mentor, project management, researching, spanish, supervision","management, administrative support, coaching, communication, customer service, french, human resources, leadership, team lead, mentor, project management, researching, spanish, supervision","english, spanish, french"
13,19,Masters,"hr generalist, hr representative, human resources coordinator, hr manager
* skills: aca, adp payroll, as400, benefits, benefits administration, consultation, erp, hiring, hris, internet explorer, kronos, labor relations, excel, outlook, powerpoint, word, organization development, payroll, peoplesoft, personnel policies, recruitment, sox, employee handbook","aca, adp payroll, as400, benefits, benefits administration, consultation, erp, hiring, hris, internet explorer, kronos, labor relations, excel, outlook, powerpoint, word, organization development, payroll, peoplesoft, personnel policies, recruitment, sox, employee handbook",not mentioned
14,0,Masters,"human resources, education, recruitment, employee relations, training and development
* skills: administrative, ad, arbitration, agency, budget, consultant, database, employee relations, hiring, hris, human resource, human resources, leadership, materials, meetings, newsletter, organizational, performance management, personnel, presentations, processes, recruiting, recruitment, reporting, staffing, teacher","administrative, ad, arbitration, agency, budget, consultant, database, employee relations, hiring, hris, human resource, human resources, leadership, materials, meetings, newsletter, organizational, performance management, personnel, presentations, processes, recruiting, recruitment, reporting, staffing, teacher",not specified
15,20,Bachelors,"hr, ap/ar, auditing, documentation, property management
* skills: accounts payable, accounts receivable, customer service, microsoft suite, sap, solomon, quickbooks","accounts payable, accounts receivable, customer service, microsoft suite, sap, solomon, quickbooks",not specified
16,10,Bachelors,"human resources, administrative, customer service
* skills: excel, outlook, power point, visio, one note, share point, sap, advise hr, siebel, talx, autonomy, survey monkey, taleo","excel, outlook, power point, visio, one note, share point, sap, advise hr, siebel, talx, autonomy, survey monkey, taleo",not mentioned
17,11,Masters,"human resources, event planning, administration
* skills: accounting, advertising, analytical skills, basic finance, business communications, business law, child care, clerical, cold calling, communication skills, interpersonal skills, conferences, database, drafting, editing, employee relations, faxes, finance, financial accounting, first aid, forms, government, hiring, hris, human resource management, image, information systems, international business, job analysis, kronos, labor relations, leadership, leadership development, law, legal, managerial, managing, managerial accounting, marketing, meetings, microsoft office, outlook, powerpoint, publisher, word, works, negotiations, networking, notary public, organization development, organizational skills, organizational, payroll, peoplesoft, performance management, personnel, policies, develop policies, pricing, problem solving, procedure writing, processes, procurement, production management, quickbooks, file maintenance, recruiting, recruitment, researching, sound, staff development, staff supervision, staffing, statistics, strategy, training programs, workshops, written","accounting, advertising, analytical skills, basic finance, business communications, business law, child care, clerical, cold calling, communication skills, interpersonal skills, conferences, database, drafting, editing, employee relations, faxes, finance, financial accounting, first aid, forms, government, hiring, hris, human resource management, image, information systems, international business, job analysis, kronos, labor relations, leadership, leadership development, law, legal, managerial, managing, managerial accounting, marketing, meetings, microsoft office, outlook, powerpoint, publisher, word, works, negotiations, networking, notary public, organization development, organizational skills, organizational, payroll, peoplesoft, performance management, personnel, policies, develop policies, pricing, problem solving, procedure writing, processes, procurement, production management, quickbooks, file maintenance, recruiting, recruitment, researching, sound, staff development, staff supervision, staffing, statistics, strategy, training programs, workshops, written",not specified
18,11,Masters,"human resources, recruitment, retention, mediation, records management, payroll, benefits administration, employee relations, manager coaching and training, hris applications, payroll expertise
* skills: adp, people fluent, microsoft offices, interviewing expertise, performance management strategies, benefits administrator, employee relations, hris applications, payroll expertise, quickbooks proficiency, alternative dispute resolution (adr), staffing and recruiting professional","adp, people fluent, microsoft offices, interviewing expertise, performance management strategies, benefits administrator, employee relations, hris applications, payroll expertise, quickbooks proficiency, alternative dispute resolution (adr), staffing and recruiting professional",not specified
19,7,Masters,"hr consulting, hr generalist, recruitment, performance management, employee retention, staff development, mediation, conflict resolution, benefits and compensation, hr records management, hr policies, jobs and competencies
* skills: benefits, budget, client, delivery, hiring, human resource, hr, insurance, leadership, people management, managerial, managing, market, mentor, mis, negotiations, networking, internet research, optimization, organization development, payroll, performance management, philosophy, policies, processes, promotion, recruitment, recruiting, seminars, strategic","benefits, budget, client, delivery, hiring, human resource, hr, insurance, leadership, people management, managerial, managing, market, mentor, mis, negotiations, networking, internet research, optimization, organization development, payroll, performance management, philosophy, policies, processes, promotion, recruitment, recruiting, seminars, strategic",not mentioned
20,9,Bachelors,"hr generalist, office administrative assistant, waitress
* skills: microsoft office, excel, grammar, problem-solving, presentation development, confidentiality, interpersonal skills, attention to detail","microsoft office, excel, grammar, problem-solving, presentation development, confidentiality, interpersonal skills, attention to detail",not specified
21,3,Bachelors,"hr, talent acquisition, university recruitment, event planning, employee relations, project management, training and development, public speaking, social media marketing
* skills: recruiting, onboarding, project management, event planning, employee relations, teamwork/collaboration, training and development, public speaking, social media marketing, adp, workday, microsoft office suite","recruiting, onboarding, project management, event planning, employee relations, teamwork/collaboration, training and development, public speaking, social media marketing, adp, workday, microsoft office suite",not specified
22,9,Masters,"human resources, recruitment, federal employment processes
* skills: hr advisory services, strategic recruitment planning, hr policies & procedures, staff recruitment & retention, hr program/project management, orientation & onboarding, performance management, delegated examining, classification and position management, special emphasis programs, ms office, social media management and recruitment","hr advisory services, strategic recruitment planning, hr policies & procedures, staff recruitment & retention, hr program/project management, orientation & onboarding, performance management, delegated examining, classification and position management, special emphasis programs, ms office, social media management and recruitment",not specified
23,9,Masters,"human resources, recruitment, staffing, employee relations, compensation, benefits, training, development
* skills: benchmarking, benefits, conflict resolution, direction, employee relations, performance management, personnel, policies, processes, recruitment, research, safety, staffing, strategic, training programs","benchmarking, benefits, conflict resolution, direction, employee relations, performance management, personnel, policies, processes, recruitment, research, safety, staffing, strategic, training programs",not specified
24,11,Bachelors,"hr generalist, human resource manager, staffing manager
* skills: ada, adp, benefits, clarify, employee relations, human resource, human resources, hr, insurance, law enforcement, mediation, ms office, office, sharepoint, organizational, performance management, personnel, policies, promotion, recruiting, recruitment, employee handbooks, vendor management","ada, adp, benefits, clarify, employee relations, human resource, human resources, hr, insurance, law enforcement, mediation, ms office, office, sharepoint, organizational, performance management, personnel, policies, promotion, recruiting, recruitment, employee handbooks, vendor management",not specified
25,12,Bachelors,"hr, recruitment, administration, reception
* skills: microsoft office suite, applicant tracking system, hrms, people-oriented, organized, exceptional communicator, recruiting, sap, sharepoint, excel, groupwise, incoming calls, ms office, ms outlook, phone system, receptionist, recruiter, sterling inforsystems, orange tree employment services, kenexa - ibm products, ultipro","microsoft office suite, applicant tracking system, hrms, people-oriented, organized, exceptional communicator, recruiting, sap, sharepoint, excel, groupwise, incoming calls, ms office, ms outlook, phone system, receptionist, recruiter, sterling inforsystems, orange tree employment services, kenexa - ibm products, ultipro",not specified
26,37,Masters,"hr, manufacturing, medical device, power supply
* skills: adp payroll, ceridian, excel, hris, paychex, powerpoint, word","adp payroll, ceridian, excel, hris, paychex, powerpoint, word",not specified
27,20,Masters,"human resources, special education, foodservices, quality assurance, dietary management, senior team leader/administrative assistant
* skills: on-boarding, staffing and recruiting, payroll entry, ada, administrative assistant, benefits, ceridian, charts, coaching, consulting, counseling, cpr certified, excellent customer service, employee relations, special events, financial, first aid, food safety, hiring, human resources, hr, insurance, kronos, law, long-term care, mechanic, meetings, payroll, performance reviews, personnel, policies, quality assurance, recruitment, repairs, safety, scheduling, staffing, supervisor, supervisory, training programs","on-boarding, staffing and recruiting, payroll entry, ada, administrative assistant, benefits, ceridian, charts, coaching, consulting, counseling, cpr certified, excellent customer service, employee relations, special events, financial, first aid, food safety, hiring, human resources, hr, insurance, kronos, law, long-term care, mechanic, meetings, payroll, performance reviews, personnel, policies, quality assurance, recruitment, repairs, safety, scheduling, staffing, supervisor, supervisory, training programs",not specified
28,20,Bachelors,"hr, administration, project management, operations management
* skills: administrative, budget, contracts, customer service, documentation, expense reports, financial, government, hiring, hr, office, office administration, office management, payroll, personnel, processes, proposals, quality, quality assurance","administrative, budget, contracts, customer service, documentation, expense reports, financial, government, hiring, hr, office, office administration, office management, payroll, personnel, processes, proposals, quality, quality assurance",not specified
29,0,Masters,"human resource, organisational management, counselling, business development
* skills: microsoft excel, outlook, powerpoint, word, excellent communication skills, organisational skills, spss, data entry","microsoft excel, outlook, powerpoint, word, excellent communication skills, organisational skills, spss, data entry",not specified
30,17,Bachelors,"hr, retail, education
* skills: academic, a.i., attention to detail, back-up, benefits, benefits administration, budget, cash receipts, coaching, contracts, critical thinking, customer satisfaction, customer services, employee relations, event management, hiring, hr, inventory, leadership, meetings, excel, organizational skills, payroll, personnel, policies, problem-solving, recruiting, research, retail, sales, staffing, store manager","academic, a.i., attention to detail, back-up, benefits, benefits administration, budget, cash receipts, coaching, contracts, critical thinking, customer satisfaction, customer services, employee relations, event management, hiring, hr, inventory, leadership, meetings, excel, organizational skills, payroll, personnel, policies, problem-solving, recruiting, research, retail, sales, staffing, store manager",not specified
31,18,None,"hr generalist, project management, finance
* skills: abc, adp, adr, benefits, budget, coaching, driving, employee relations, training employees, special events, senior management, hiring, home healthcare, hris, human resources, hr, insurance, legal, managing, meetings, access, excel, ms office, office, outlook, powerpoint, word, enterprise, organizational development, peoplesoft, performance management, personnel, policies, processes, project management, recruitment, recruiting, sales, sound, structured, supervisor, teamwork, video, voice and data, workshops","abc, adp, adr, benefits, budget, coaching, driving, employee relations, training employees, special events, senior management, hiring, home healthcare, hris, human resources, hr, insurance, legal, managing, meetings, access, excel, ms office, office, outlook, powerpoint, word, enterprise, organizational development, peoplesoft, performance management, personnel, policies, processes, project management, recruitment, recruiting, sales, sound, structured, supervisor, teamwork, video, voice and data, workshops",not specified
32,19,Bachelors,"human resources, organizational development, talent management, change management, employee relations, training & development, performance management, hr information systems
* skills: ada, administrative, adobe illustrator, art, agency, benefits, ceridian, change management, decision-making, dca, employee relations, special events, fast, focus, hiring, hris, hub, hubs, human resources, hr, information systems, kronos, leadership, legal, mental health, mental illness, access, excel, powerpoint, publisher, ms word, oracle, organizational development, organization development, organizational, performance management, personnel, policies, processes, recruiting, recruitment, sales, sap, seminars, staffing, strategic, strategic planning, supervisor, surveys, workshops","ada, administrative, adobe illustrator, art, agency, benefits, ceridian, change management, decision-making, dca, employee relations, special events, fast, focus, hiring, hris, hub, hubs, human resources, hr, information systems, kronos, leadership, legal, mental health, mental illness, access, excel, powerpoint, publisher, ms word, oracle, organizational development, organization development, organizational, performance management, personnel, policies, processes, recruiting, recruitment, sales, sap, seminars, staffing, strategic, strategic planning, supervisor, surveys, workshops",not specified
33,25,Bachelors,"human resources
* skills: ada, advertisements, benefits, budgets, charts, competitive, counseling, databases, documentation, employee relations, firing, forms, hiring, human resources management, human resources, labor relations, legal, networking, organizing, organizational, performance appraisals, performance appraisals, recruiting, recruitment, research, safety, staffing, supervisory, employee development, employee handbooks","ada, advertisements, benefits, budgets, charts, competitive, counseling, databases, documentation, employee relations, firing, forms, hiring, human resources management, human resources, labor relations, legal, networking, organizing, organizational, performance appraisals, performance appraisals, recruiting, recruitment, research, safety, staffing, supervisory, employee development, employee handbooks",not specified
34,15,None,"hr, payroll, staffing, tax, appraisal, customer service
* skills: cash handling, data entry, employee relations, faxes, hiring, inventory, mailing, office software (access, excel, powerpoint, microsoft word), payroll processing, copiers, printers, receptionist, recruiting, routing, sales, scheduling, staffing","cash handling, data entry, employee relations, faxes, hiring, inventory, mailing, office software (access, excel, powerpoint, microsoft word), payroll processing, copiers, printers, receptionist, recruiting, routing, sales, scheduling, staffing",not specified
35,23,Bachelors,"human resources, hr management, recruiting, training, employee relations, compensation, payroll, labor relations, event planning, executive management, senior management
* skills: benefits, budget analysis, budgets, coaching, contract negotiations, documentation, training employees, event planning, special events, executive management, senior management, firing, forms, functional, general manager, graphics, hiring, human resource management, human resources, hr, insurance, regulatory compliance, letters, logistics, director, managing, marketing, meetings, payroll, people soft, personnel, policies, presentations, press releases, pr, processes, promotion, recruiting, recruitment, reporting, sales, scheduling, sound, staffing, strategic, travel arrangements, workshops","benefits, budget analysis, budgets, coaching, contract negotiations, documentation, training employees, event planning, special events, executive management, senior management, firing, forms, functional, general manager, graphics, hiring, human resource management, human resources, hr, insurance, regulatory compliance, letters, logistics, director, managing, marketing, meetings, payroll, people soft, personnel, policies, presentations, press releases, pr, processes, promotion, recruiting, recruitment, reporting, sales, scheduling, sound, staffing, strategic, travel arrangements, workshops",not specified
36,25,Bachelors,"hr generalist, human resource manager, front end supervisor, customer service technical trainer, bakery manager
* skills: associate relations, audits, asset protection, coaching, eeoc responses, succession planning, terminations, customer service, retail sales, cash controls, bookkeeping, time management, budgets, lotus notes, bakery, merchandising, ordering, sales, sanitation, scheduling, budget preparation, conflict management, employment law, expense control, internal investigations, on-line learning, problem solving, project management, quick books, recruiting, retail marketing, self motivated, strategic planning, team building, training","associate relations, audits, asset protection, coaching, eeoc responses, succession planning, terminations, customer service, retail sales, cash controls, bookkeeping, time management, budgets, lotus notes, bakery, merchandising, ordering, sales, sanitation, scheduling, budget preparation, conflict management, employment law, expense control, internal investigations, on-line learning, problem solving, project management, quick books, recruiting, retail marketing, self motivated, strategic planning, team building, training",not specified
37,23,Masters,"human resources, talent management, employee relations, compensation, performance management, project management
* skills: title vii, ada, mid-senior level coaching/consultation, employee relations, partner with senior management and function management, hr policy interpretation, presentation/facilitation, collaboration/partnering skills, relationship building skills","title vii, ada, mid-senior level coaching/consultation, employee relations, partner with senior management and function management, hr policy interpretation, presentation/facilitation, collaboration/partnering skills, relationship building skills",not specified
38,30,Bachelors,"administration, accounting, hr, sales management, marketing, real estate, leasing, payroll, customer service, translations
* skills: office support, accounting, billing, bookkeeping, customer service, employee relations, filing, hiring, hr, inventory, invoicing, marketing, meetings, excel, outlook, windows, word, payroll, pr, proposals, purchasing, real estate, sales management, spreadsheets, supervisor, training programs, translations, written communication","office support, accounting, billing, bookkeeping, customer service, employee relations, filing, hiring, hr, inventory, invoicing, marketing, meetings, excel, outlook, windows, word, payroll, pr, proposals, purchasing, real estate, sales management, spreadsheets, supervisor, training programs, translations, written communication","english, french"
39,10,None,"hr, employee relations, benefits, payroll, eeoc, aap, faa/dot, workers compensation & safety
* skills: various administrative, hr, and technical skills","various administrative, hr, and technical skills",not specified
40,1,Masters,"human resource management, finance
* skills: spss software, ms office, professional management skills, meeting objectives, identifying problems, well-developed and effective communication skills, thrive in deadline-driven environments, excellent team-building skills","spss software, ms office, professional management skills, meeting objectives, identifying problems, well-developed and effective communication skills, thrive in deadline-driven environments, excellent team-building skills",not mentioned
41,0,Masters,"hr, human resources, project management, compensation management, international human resource management, managerial behavior & effectiveness, system analysis & design, industrial project
* skills: new employee orientations, compensation and benefits, termination procedures, in-depth knowledge of hr compliance, project management, ms office proficient, knowledgeable in all hr systems, team building, employee recruitment, c, c++, english, hindi, java, microsoft office, sql, visual basic 6.0","new employee orientations, compensation and benefits, termination procedures, in-depth knowledge of hr compliance, project management, ms office proficient, knowledgeable in all hr systems, team building, employee recruitment, c, c++, english, hindi, java, microsoft office, sql, visual basic 6.0","english, hindi"
42,17,Masters,"hr generalist, sr. administrative assistant, human resource representative, human resources administrator
* skills: microsoft office suite, sap, kronos, ibm, adp, ats, mss, hrss, oracle, workbrain, t, administrative, streamline, adp, agency, auditing, benefits, budget, conferences, client, customer service, data entry, database, email, employee relations, special events, fax, filing, forms, hris, inventory, labor relations, legal, meetings, access, internet research, organizational, payroll processing, performance management, personnel, policies, processes, quick, receptionist, record keeping, recruiting, reporting, research, safety, staffing, strategic, phone","microsoft office suite, sap, kronos, ibm, adp, ats, mss, hrss, oracle, workbrain, t, administrative, streamline, adp, agency, auditing, benefits, budget, conferences, client, customer service, data entry, database, email, employee relations, special events, fax, filing, forms, hris, inventory, labor relations, legal, meetings, access, internet research, organizational, payroll processing, performance management, personnel, policies, processes, quick, receptionist, record keeping, recruiting, reporting, research, safety, staffing, strategic, phone",not mentioned
43,8,Masters,"hr, administration, sales, marketing
* skills: administrative support, anti-virus, billing, budget, oral communication, conferences, clients, customer satisfaction, databases, documentation, finance, help desk, inside sales, marketing, meetings, access database, excel spreadsheets, powerpoint, microsoft word, office manager, organizing, pricing, printers, problem solving, processes, coding, purchasing, quality, recording, recruitment, sales, scheduling, spreadsheets, surveys, travel arrangements, troubleshooting, websites, written communication","administrative support, anti-virus, billing, budget, oral communication, conferences, clients, customer satisfaction, databases, documentation, finance, help desk, inside sales, marketing, meetings, access database, excel spreadsheets, powerpoint, microsoft word, office manager, organizing, pricing, printers, problem solving, processes, coding, purchasing, quality, recording, recruitment, sales, scheduling, spreadsheets, surveys, travel arrangements, troubleshooting, websites, written communication",not specified
44,12,None,"hr, office management, animal rescue organization
* skills: customer service, receptionist, retail sales, advertising, budget, corrective action, cost reduction, forecasting, maintenance, office manager, paying, scheduling, surveying, accounting, administrative/financial, buying/procurement, financial/accounting, inventory, inventory control, purchasing, affirmative action, bi, business intelligence, claims, clients, coaching, compensation, contracts, disciplinary procedures, employee engagement, fmla, hr, interviewing, managerial, new hire paperwork, payroll, pto, recruiting, staffing, talent selection, tally, terminations, training, workers compensation","customer service, receptionist, retail sales, advertising, budget, corrective action, cost reduction, forecasting, maintenance, office manager, paying, scheduling, surveying, accounting, administrative/financial, buying/procurement, financial/accounting, inventory, inventory control, purchasing, affirmative action, bi, business intelligence, claims, clients, coaching, compensation, contracts, disciplinary procedures, employee engagement, fmla, hr, interviewing, managerial, new hire paperwork, payroll, pto, recruiting, staffing, talent selection, tally, terminations, training, workers compensation",not specified
45,11,Bachelors,"hr, sales, server, instructor
* skills: carl henry modern sales training, client-focused, effective communication skills, event management, leadership, microsoft office proficient, self-starter, troubleshooting, problem solving, organized, detail oriented, sensitive to customer needs, ultimate software payroll and hris expertise, kronos time and attendance expertise, paychex proficient, nettime proficient","carl henry modern sales training, client-focused, effective communication skills, event management, leadership, microsoft office proficient, self-starter, troubleshooting, problem solving, organized, detail oriented, sensitive to customer needs, ultimate software payroll and hris expertise, kronos time and attendance expertise, paychex proficient, nettime proficient","english, spanish, french"
46,13,Masters,"hr generalist, owner/chef, kitchen manager, assistant restaurant manager
* skills: accounting, ada, advertising, benefits, bookkeeping, budgeting, business law, business research, business startup, competitive, credit, clients, delivery, economics, employee relations, training employees, special events, senior management, filling, finance, financial, general manager, hiring, hris, human resources, hr, inventory, italian, leadership, law, letters, managerial, managerial accounting, market, marketing, marketing materials, materials, excel, ms office, outlook, powerpoint, word, operations management, organizational, packaging, payroll, policies, pos, pricing, profit, promotion, protocols, purchasing, quality, radio, recruitment, safety, sales, sigma, phone, unique","accounting, ada, advertising, benefits, bookkeeping, budgeting, business law, business research, business startup, competitive, credit, clients, delivery, economics, employee relations, training employees, special events, senior management, filling, finance, financial, general manager, hiring, hris, human resources, hr, inventory, italian, leadership, law, letters, managerial, managerial accounting, market, marketing, marketing materials, materials, excel, ms office, outlook, powerpoint, word, operations management, organizational, packaging, payroll, policies, pos, pricing, profit, promotion, protocols, purchasing, quality, radio, recruitment, safety, sales, sigma, phone, unique",not mentioned
47,14,Bachelors,"hr, hris, business analysis, project management, process improvement, quality assurance, system applications implementation
* skills: advanced excel, access, word, visio, power point, vba, sap hcm, success factors (compensation), microsoft project management, service now (askhr), smartsheet, panaya, silkroad - red carpet","advanced excel, access, word, visio, power point, vba, sap hcm, success factors (compensation), microsoft project management, service now (askhr), smartsheet, panaya, silkroad - red carpet","portuguese, spanish, english"
48,8,Masters,"hr generalist, hr staffing coordinator, executive technical associate
* skills: administrative duties, administrative support, adp, ad, attention to detail, basic, benefits, bi, calendar maintenance, call center, copying, data analysis, databases, database, documentation, email, employee relations, expense reports, faxing, filing, forms, hris, human resources, hr, leadership, notes, meetings, access, microsoft office suite, office, multi-tasking, organizational, payroll, policies, posters, presentations, reporting, research, scheduling, siebel, strategic, supervisor, telephone, phone, typing","administrative duties, administrative support, adp, ad, attention to detail, basic, benefits, bi, calendar maintenance, call center, copying, data analysis, databases, database, documentation, email, employee relations, expense reports, faxing, filing, forms, hris, human resources, hr, leadership, notes, meetings, access, microsoft office suite, office, multi-tasking, organizational, payroll, policies, posters, presentations, reporting, research, scheduling, siebel, strategic, supervisor, telephone, phone, typing",not mentioned
49,11,Masters,"hr, recruitment, freelance
* skills: bullhorn, boolean searches, google resume search, linkedin x-ray search, the ladder, github, tech fetch, monster, career builder, linkedin, indeed","bullhorn, boolean searches, google resume search, linkedin x-ray search, the ladder, github, tech fetch, monster, career builder, linkedin, indeed",not specified
50,15,Bachelors,"human resources, payroll, benefits administration, safety, academic, manufacturing
* skills: abra, ceridian, crystal reports, hris, microsoft office (excel, powerpoint, word), payroll, peoplesoft, quickbooks, sap","abra, ceridian, crystal reports, hris, microsoft office (excel, powerpoint, word), payroll, peoplesoft, quickbooks, sap",not specified
